;Product Name;Price;Store;Rating;Most Popular;has_rating
180;Easy Iron Pure Cotton Striped Shirt;799900;Marks & Spencer;5.0;1;1
207;Geometric Print Cuban Collar Shirt;799900;Marks & Spencer;5.0;0;1
150;Cotton Rich Seersucker Shirt;799900;Marks & Spencer;5.0;0;1
227;Easy Iron Cotton Linen Blend Striped Shirt;799900;Marks & Spencer;4.9;1;1
245;Pure Cotton Striped Seersucker Revere Shirt;799900;Marks & Spencer;4.9;1;1
324;Pleated Linen Blend Shirt;809000;Trendyol;0.0;0;0
73;Basic Shirt;839000;Trendyol;0.0;0;0
374;Regular Fit Linen Rich Striped Shirt;849900;Marks & Spencer;5.0;0;1
320;Pure Cotton Striped Seersucker Shirt;849900;Marks & Spencer;5.0;0;1
34;Cotton Rich Seersucker Check Shirt;849900;Marks & Spencer;5.0;1;1
32;Elasticated Waist Ripstop Cargo Trousers;849900;Marks & Spencer;4.8;1;1
121;Pure Cotton Textured Shirt;849900;Marks & Spencer;5.0;1;1
43;Cotton Rich Rugby Shirt;849900;Marks & Spencer;4.6;1;1
125;Regular Fit Cotton Rich Striped Shirt;849900;Marks & Spencer;5.0;1;1
337;Geometric Print Shirt;849900;Marks & Spencer;4.9;0;1
66;Regular Fit Non Iron Pure Cotton Textured Shirt;849900;Marks & Spencer;4.7;1;1
146;Regular Fit Cotton Blend Short Sleeve Shirt;849900;Marks & Spencer;5.0;1;1
226;Slim Fit Non Iron Pure Cotton Shirt;849900;Marks & Spencer;4.9;0;1
290;Cotton Rich Short Sleeve Cuban Collar Shirt;849900;Marks & Spencer;5.0;0;1
85;Linen Blend Geometric Print Short Sleeve Shirt;849900;Marks & Spencer;5.0;0;1
74;Cotton Rich Striped Shirt;849900;Marks & Spencer;5.0;0;1
169;Linen Rich Cuban Collar Wave Print Shirt;849900;Marks & Spencer;5.0;0;1
244;Cotton Blend Print Shirt;849900;Marks & Spencer;0.0;0;0
302;Easy Iron Striped Oxford Shirt;849900;Marks & Spencer;4.6;1;1
182;Pure Cotton Diamond Print Shirt;849900;Marks & Spencer;5.0;1;1
75;Slim Fit Grandad Collar Shirt;869000;Trendyol;5.0;0;1
317;Short Sleeve Shirt Geometric Embroidered Regular Fit;889000;KOTON;0.0;0;0
159;Checkered Shirt;899000;Trendyol;4.8;0;1
35;Printed Shirt;899900;Marks & Spencer;5.0;1;1
23;Pure Cotton Cuban Collar Shirt;899900;Marks & Spencer;5.0;1;1
112;Pure Cotton Knitted Shirt;899900;Marks & Spencer;4.8;1;1
305;Brown Oversized Fit Embroidered Brode Summer Embroidered Shirt TMNSS25GO00049;909000;Trendyol;0.0;0;0
346;Pure Linen Striped Grandad Collar Shirt;949900;Marks & Spencer;4.8;1;1
84;Cotton Linen Blend Striped Grandad Collar Shirt;949900;Marks & Spencer;5.0;1;1
28;Pure Cotton Herringbone Overshirt;949900;Marks & Spencer;5.0;0;1
109;Cotton Linen Blend Check Shirt;949900;Marks & Spencer;4.7;1;1
218;Cotton Rich Check Overshirt;949900;Marks & Spencer;5.0;1;1
372;Pure Linen Short Sleeve Shirt;949900;Marks & Spencer;4.8;0;1
212;Easy Iron Cotton Rich Striped Oxford Shirt;949900;Marks & Spencer;4.9;0;1
167;Cotton Rich Striped Overshirt;949900;Marks & Spencer;4.3;1;1
266;Cotton Linen Blend Fine Stripe Shirt;949900;Marks & Spencer;4.9;1;1
20;Pure Cotton Pique Shirt;949900;Marks & Spencer;5.0;0;1
77;Cotton Linen Blend Puppytooth Shirt;949900;Marks & Spencer;5.0;1;1
283;Twill Cuban Collar Shirt;949900;Marks & Spencer;0.0;0;0
285;Cotton Rich Twill Striped Oxford Shirt;949900;Marks & Spencer;0.0;0;0
70;Pure Cotton Poplin Overshirt;949900;Marks & Spencer;5.0;1;1
69;Regular Fit Non Iron Pure Cotton Striped Shirt;949900;Marks & Spencer;4.8;1;1
134;Pure Cotton Check Oxford Shirt;949900;Marks & Spencer;5.0;0;1
336;Cotton Linen Blend Shirt;949900;Marks & Spencer;4.9;0;1
53;Cotton Rich Gingham Check Oxford Shirt;949900;Marks & Spencer;5.0;1;1
64;Pure Cotton Overshirt;949900;Marks & Spencer;5.0;1;1
329;Knitted Short Sleeves Summer Shirt;999000;Trendyol;0.0;0;0
325;Kemeja Lengan Pendek Pierre Cardin Printed Nottucle - White Regular Casual;999000;Pierre Cardin;5.0;0;1
208;Kemeja Lengan Pendek Pierre Cardin Orion Night Check - Dark Blue Smart Casual Look;999000;Pierre Cardin;0.0;0;0
359;Kemeja Lengan Pendek Pierre Cardin Printed Hemma Luc - Olive Regular Casual;999000;Pierre Cardin;0.0;0;0
